-DOCSTART- -X- O
and OT B-O 
summary OT B-O 
of OT B-O 
system OT B-O 
descriptions OT B-O 
. OT B-O 
Abbreviations OT B-O 
: OT B-O 
BI=Bioinformatician OT B-O 
, OT B-O 
NLP=Natural OT B-O 
Language LF B-LF 
Processing LF I-LF 
researcher OT B-O 
, OT B-O 
ML=Machine OT B-O 
Learning LF B-LF 
researcher OT B-O 
, OT B-O 
L=Linguist OT B-O 
, OT B-O 
Porter=Porter OT B-O 
stemmer OT B-O 
, OT B-O 
McCCJ=McClosky-Charniak-Johnson OT B-O 
parser OT B-O 
, OT B-O 
SD=Stanford OT B-O 
Dependency LF B-LF 
conversion OT B-O 
, OT B-O 
Dict=Dictionary OT B-O 

2.6 OT B-O 
Adverb OT B-O 
Group OT B-O 
( OT B-O 
AdvG OT B-O 
) AN B-AN 
Adverb OT B-O 
group LF B-LF 
( OT B-O 
AdvG OT B-O 
) AN I-AN 
is OT B-O 
used OT B-O 
in OT B-O 
the OT B-O 
realization OT B-O 
of OT B-O 
several OT B-O 
circumstantial OT B-O 
functions OT B-O 
given OT B-O 
in OT B-O 
Sec- OT B-O 

The OT B-O 
divergence OT B-O 
of OT B-O 
the OT B-O 
two OT B-O 
probability OT B-O 
distributions OT B-O 
is OT B-O 
calculated OT B-O 
using OT B-O 
a LF B-LF 
standard OT B-O 
information-theoretic OT B-O 
measure OT B-O 
, OT B-O 
the OT B-O 
Kullback LF I-LF 
Leibler LF I-LF 
( OT B-O 
KL- AN B-AN 
) OT B-O 
divergence OT B-O 
( OT B-O 
Cover OT B-O 
and OT B-O 
Thomas OT B-O 
1991 OT B-O 
) OT B-O 
: OT B-O 
Fixednesssyn OT B-O 
( OT B-O 
v OT B-O 
, OT B-O 
n OT B-O 
) OT B-O 

changes OT B-O 
and OT B-O 
there OT B-O 
is LF B-LF 
a LF I-LF 
complement LF B-LF 
particle OT B-O 
between OT B-O 
complement LF I-LF 
constituents OT B-O 
( OT B-O 
COP AN B-AN 
) OT B-O 
and OT B-O 
verbs OT B-O 
. OT B-O 
So OT B-O 
in OT B-O 
the OT B-O 
information OT B-O 
dictionary OT B-O 
, OT B-O 
the OT B-O 
characteristics LF I-LF 
of OT B-O 
{ OT B-O 
V AN B-AN 
( OT B-O 
CHA AN B-AN 
) OT B-O 
, OT B-O 
VP+COP OT B-O 
} OT B-O 
should OT B-O 
be OT B-O 
described OT B-O 
. OT B-O 

A AN B-AN 
List OT B-O 
of OT B-O 
POS-tags OT B-O 
ADJ AN I-AN 
( OT B-O 
adjectives LF B-LF 
) OT B-O 
, OT B-O 
ADV AN I-AN 
( OT B-O 
adverbs LF B-LF 
) OT B-O 
, OT B-O 
CJ AN B-AN 
( OT B-O 
conjunctions LF B-LF 
) OT B-O 
, OT B-O 
CL AN B-AN 
( OT B-O 
clitics LF B-LF 
) OT B-O 
, OT B-O 
CN AN B-AN 
( OT B-O 
common LF B-LF 
nouns LF I-LF 
) OT B-O 
, OT B-O 
DA AN I-AN 
( OT B-O 
definite LF B-LF 
articles LF I-LF 
) OT B-O 
, OT B-O 
DEM AN B-AN 
( OT B-O 
demonstratives LF B-LF 
) OT B-O 
, OT B-O 

3.2 OT B-O 
Machine LF B-LF 
Learning OT B-O 
Framework OT B-O 
SVM-Light AN B-AN 
( OT B-O 
Joachims OT B-O 
, OT B-O 
1999 OT B-O 
) OT B-O 
, OT B-O 
an OT B-O 
implementation OT B-O 
of OT B-O 
Support LF I-LF 
Vector LF I-LF 
Machines LF I-LF 
( OT B-O 
SVM AN I-AN 
) OT B-O 
, OT B-O 
is OT B-O 
used OT B-O 
for OT B-O 
the OT B-O 
classification OT B-O 
task OT B-O 
. OT B-O 

social OT B-O 
media OT B-O 
. OT B-O 
In OT B-O 
Proceedings OT B-O 
of OT B-O 
the OT B-O 
ACM OT B-O 
International OT B-O 
Conference OT B-O 
on OT B-O 
Web LF B-LF 
Search LF I-LF 
and LF I-LF 
Data LF I-LF 
Mining LF I-LF 
( OT B-O 
WSDM AN B-AN 
) OT B-O 
, OT B-O 
pages OT B-O 
291 OT B-O 
? OT B-O 
300 OT B-O 
. OT B-O 

of OT B-O 
Excellence OT B-O 
and OT B-O 
the OT B-O 
Defense LF B-LF 
Advanced LF I-LF 
Research LF I-LF 
Projects LF I-LF 
Agency LF I-LF 
( OT B-O 
DARPA AN B-AN 
) OT B-O 
Machine OT B-O 
Reading OT B-O 
Program OT B-O 
under OT B-O 
Air LF I-LF 
Force LF I-LF 
Research LF I-LF 
Laboratory LF I-LF 
( OT B-O 
AFRL AN B-AN 
) OT B-O 
prime OT B-O 
contract OT B-O 
no OT B-O 
. OT B-O 

particular OT B-O 
components OT B-O 
- LF B-LF 
- LF I-LF 
immediate LF B-LF 
dominance LF I-LF 
( OT B-O 
ID AN B-AN 
) OT B-O 
rules OT B-O 
, OT B-O 
meta- OT B-O 
rules OT B-O 
, OT B-O 
linear LF B-LF 
precedence LF I-LF 
( OT B-O 
LP AN B-AN 
) OT B-O 
statements OT B-O 
, OT B-O 
feature LF I-LF 
co-occurrence LF I-LF 
restrictions LF I-LF 
( OT B-O 
FCRs AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
feature LF I-LF 
specification LF I-LF 
defaults LF I-LF 
( OT B-O 
FSDs AN B-AN 
) OT B-O 
- LF I-LF 
- LF I-LF 
and OT B-O 
four OT B-O 
universal OT B-O 
components OT B-O 
- LF I-LF 
- LF I-LF 
a LF I-LF 
theory OT B-O 
of OT B-O 
syntactic OT B-O 
fea- OT B-O 

we OT B-O 
describe OT B-O 
SCANMail AN B-AN 
, OT B-O 
a LF B-LF 
system OT B-O 
that OT B-O 
employs OT B-O 
automatic LF I-LF 
speech LF I-LF 
recognition LF I-LF 
( OT B-O 
ASR AN B-AN 
) OT B-O 
, OT B-O 
information LF I-LF 
retrieval LF I-LF 
( OT B-O 
IR AN B-AN 
) OT B-O 
, OT B-O 
information LF I-LF 
extraction LF I-LF 
( OT B-O 
IE AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
human LF I-LF 
computer LF I-LF 
interaction LF I-LF 
( OT B-O 
HCI AN B-AN 
) OT B-O 
technology OT B-O 
to LF I-LF 
permit OT B-O 
users OT B-O 
to LF I-LF 
browse OT B-O 
and OT B-O 
search OT B-O 
their OT B-O 
voicemail OT B-O 
messages OT B-O 
by OT B-O 
content OT B-O 

characterize OT B-O 
the OT B-O 
AAV AN B-AN 
functions OT B-O 
mediating OT B-O 
this OT B-O 
effect OT B-O 
, OT B-O 
cloned OT B-O 
AAV AN I-AN 
type OT B-O 
2 OT B-O 
wild-type OT B-O 
or OT B-O 
mutant OT B-O 
genomes OT B-O 
were OT B-O 
transfected OT B-O 
into OT B-O 
simian LF B-LF 
virus LF I-LF 
40 LF I-LF 
( OT B-O 
SV40 AN I-AN 
) OT B-O 
-transformed OT B-O 
hamster OT B-O 
cells OT B-O 
together OT B-O 
with OT B-O 
the OT B-O 
six OT B-O 
HSV AN B-AN 
replication OT B-O 
genes OT B-O 

grammatical OT B-O 
features OT B-O 
from OT B-O 
a LF B-LF 
diachronic OT B-O 
corpus OT B-O 
of OT B-O 
academic OT B-O 
English OT B-O 
, OT B-O 
and OT B-O 
visualise OT B-O 
our OT B-O 
extraction OT B-O 
results OT B-O 
with OT B-O 
Structured LF I-LF 
Parallel LF I-LF 
Coordinates LF I-LF 
( OT B-O 
SPC AN B-AN 
) OT B-O 
, OT B-O 
a LF I-LF 
tool OT B-O 
for OT B-O 
the OT B-O 
visualisation OT B-O 
of OT B-O 
structured OT B-O 
multidi- OT B-O 

Abstract OT B-O 
This OT B-O 
paper OT B-O 
reports OT B-O 
on OT B-O 
the OT B-O 
participation OT B-O 
of OT B-O 
the OT B-O 
TALP AN B-AN 
Research OT B-O 
Center OT B-O 
of OT B-O 
the OT B-O 
UPC AN B-AN 
( OT B-O 
Universitat LF B-LF 
Polit LF I-LF 
? LF I-LF 
cnica LF I-LF 
de OT B-O 
Catalunya OT B-O 
) OT B-O 
to OT B-O 
the OT B-O 
ACL AN B-AN 
WMT AN B-AN 
2008 OT B-O 
evaluation OT B-O 

lar OT B-O 
, OT B-O 
at OT B-O 
the OT B-O 
level OT B-O 
of OT B-O 
additional OT B-O 
information OT B-O 
( OT B-O 
CR AN B-AN 
) OT B-O 
, OT B-O 
we OT B-O 
observed OT B-O 
some OT B-O 
differences OT B-O 
in OT B-O 
judgement OT B-O 
in OT B-O 
particular OT B-O 
between OT B-O 
restrictions OT B-O 
( OT B-O 
AR AN B-AN 
) OT B-O 
and OT B-O 
warnings OT B-O 
( OT B-O 
AA AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
a OT B-O 
few OT B-O 
others OT B-O 
between OT B-O 
CSFH AN B-AN 
and OT B-O 
CSFC AN B-AN 
whose OT B-O 

onomy OT B-O 
using OT B-O 
a LF B-LF 
Japanese-English OT B-O 
bilingual OT B-O 
dictionary OT B-O 
as OT B-O 
a LF I-LF 
`` OT B-O 
bridge OT B-O 
'' OT B-O 
, OT B-O 
in LF I-LF 
order OT B-O 
to OT B-O 
support OT B-O 
semantic OT B-O 
processing OT B-O 
in LF I-LF 
a LF I-LF 
knowledge-based OT B-O 
machine LF I-LF 
translation LF I-LF 
( OT B-O 
MT AN B-AN 
) OT B-O 
system OT B-O 
. OT B-O 

tion OT B-O 
string OT B-O 
in OT B-O 
discourse OT B-O 
: OT B-O 
PER LF B-LF 
, OT B-O 
GPE AN B-AN 
, OT B-O 
ORG AN B-AN 
, OT B-O 
LOC AN B-AN 
, OT B-O 
FAC AN B-AN 
, OT B-O 
NPER AN I-AN 
( OT B-O 
NOMINAL LF I-LF 
PER LF I-LF 
) OT B-O 
, OT B-O 
NGPE AN I-AN 
, OT B-O 
NORG AN I-AN 
, OT B-O 
NLOC AN I-AN 
, OT B-O 
NFAC AN I-AN 
, OT B-O 
PPER AN I-AN 
( OT B-O 
PROUNOUN LF I-LF 
PER LF I-LF 
) OT B-O 
, OT B-O 
PGPE AN I-AN 
, OT B-O 
PORG AN I-AN 
, OT B-O 
PLOC AN I-AN 
, OT B-O 
and OT B-O 
PFAC AN I-AN 
. OT B-O 

The OT B-O 
unspecified OT B-O 
role OT B-O 
filler OT B-O 
is LF B-LF 
not OT B-O 
'bound OT B-O 
' OT B-O 
to OT B-O 
a LF I-LF 
complement OT B-O 
( OT B-O 
i.e OT B-O 
. OT B-O 
any OT B-O 
item OT B-O 
on OT B-O 
the OT B-O 
SUBCAT AN B-AN 
list OT B-O 
) OT B-O 
but OT B-O 
is LF I-LF 
existentially LF I-LF 
quantified LF I-LF 
( OT B-O 
EX-Q AN B-AN 
) OT B-O 
. OT B-O 
The OT B-O 
ergative OT B-O 

Non-MonoClausal LF B-LF 
Verbs LF I-LF 
( OT B-O 
NMCV AN B-AN 
) OT B-O 
, OT B-O 
Passives LF B-LF 
( OT B-O 
Pass LF I-LF 
) OT B-O 
and OT B-O 
Auxiliary LF B-LF 
Construction LF I-LF 
( OT B-O 
AC AN B-AN 
) OT B-O 
that OT B-O 
are OT B-O 
identified OT B-O 
as LF I-LF 
compound LF B-LF 
verbs LF I-LF 
( OT B-O 
CompVs AN B-AN 
) OT B-O 
. OT B-O 

3.1 OT B-O 
The OT B-O 
Information OT B-O 
Extraction LF B-LF 
Pipeline OT B-O 
The OT B-O 
extraction OT B-O 
task OT B-O 
we OT B-O 
are OT B-O 
addressing OT B-O 
is OT B-O 
that OT B-O 
of OT B-O 
the OT B-O 
Automatic LF I-LF 
Content LF I-LF 
Extraction LF I-LF 
( OT B-O 
ACE AN B-AN 
) OT B-O 
1 OT B-O 
evaluations OT B-O 
. OT B-O 

tions OT B-O 
( OT B-O 
Abe OT B-O 
et OT B-O 
al OT B-O 
, OT B-O 
1996 OT B-O 
) OT B-O 
. OT B-O 
1.1 OT B-O 
Question LF B-LF 
answering LF I-LF 
( OT B-O 
QA AN B-AN 
) OT B-O 
Unlike OT B-O 
IR OT B-O 
systems OT B-O 
which OT B-O 
return OT B-O 
a LF I-LF 
list OT B-O 
of OT B-O 
documents OT B-O 

helpful OT B-O 
in LF B-LF 
identifying OT B-O 
the OT B-O 
embedded OT B-O 
words OT B-O 
. OT B-O 
However OT B-O 
some OT B-O 
ambiguous LF I-LF 
segmentation LF I-LF 
strings LF I-LF 
( OT B-O 
ASSs AN B-AN 
) OT B-O 
and OT B-O 
unregistered OT B-O 
words OT B-O 
( OT B-O 
i.e OT B-O 
. OT B-O 
the OT B-O 
word OT B-O 
that OT B-O 
is OT B-O 
not OT B-O 
registered OT B-O 

2.2 OT B-O 
Hierarchical OT B-O 
Softmax LF B-LF 
Hierarchical OT B-O 
Softmax LF I-LF 
( OT B-O 
HSM OT B-O 
) AN B-AN 
organizes OT B-O 
the OT B-O 
output OT B-O 
vocabulary OT B-O 
into OT B-O 
a LF I-LF 
tree OT B-O 
where OT B-O 
the OT B-O 
leaves OT B-O 
are OT B-O 

In LF B-LF 
the OT B-O 
next OT B-O 
experiments OT B-O 
, OT B-O 
we OT B-O 
run OT B-O 
experiments OT B-O 
across OT B-O 
three OT B-O 
different OT B-O 
locales OT B-O 
in LF B-LF 
Places OT B-O 
domain OT B-O 
: OT B-O 
United LF I-LF 
Kingdom LF I-LF 
( OT B-O 
GB AN B-AN 
) OT B-O 
, OT B-O 
Australia LF B-LF 
( OT B-O 
AU AN B-AN 
) OT B-O 
, OT B-O 
and OT B-O 
India LF I-LF 
( OT B-O 
IN AN B-AN 
) OT B-O 
. OT B-O 

ing OT B-O 
and OT B-O 
understanding OT B-O 
convolutional OT B-O 
networks OT B-O 
. OT B-O 
In OT B-O 
European LF B-LF 
Conference LF I-LF 
on LF I-LF 
Computer LF I-LF 
Vision LF I-LF 
( OT B-O 
ECCV AN B-AN 
) OT B-O 
. OT B-O 

tion OT B-O 
( OT B-O 
IE AN B-AN 
) OT B-O 
. OT B-O 
Considerable OT B-O 
volume OT B-O 
of OT B-O 
location OT B-O 
data OT B-O 
was OT B-O 
imported OT B-O 
in OT B-O 
a LF B-LF 
knowledge LF I-LF 
base LF I-LF 
( OT B-O 
KB AN B-AN 
) OT B-O 
with OT B-O 
entities OT B-O 
of OT B-O 
general OT B-O 
importance OT B-O 
used OT B-O 
for OT B-O 
seman- OT B-O 

multilingual OT B-O 
MT AN B-AN 
system OT B-O 
developed OT B-O 
at LF B-LF 
the OT B-O 
Laboratoire LF I-LF 
d'Analyse LF I-LF 
et LF I-LF 
de LF I-LF 
Technologie LF I-LF 
du LF I-LF 
Langage LF I-LF 
( OT B-O 
LATL AN B-AN 
) OT B-O 
, OT B-O 
University OT B-O 
of OT B-O 
Geneva OT B-O 
. OT B-O 

assignment OT B-O 
. OT B-O 
We OT B-O 
use OT B-O 
a OT B-O 
generative OT B-O 
model OT B-O 
based OT B-O 
on OT B-O 
a OT B-O 
Dirichlet LF B-LF 
Process LF I-LF 
( OT B-O 
DP AN B-AN 
) OT B-O 
defined OT B-O 
over OT B-O 
composed OT B-O 
rules OT B-O 
. OT B-O 

Because OT B-O 
of OT B-O 
data OT B-O 
sparseness OT B-O 
, OT B-O 
we OT B-O 
can OT B-O 
not OT B-O 
reliably OT B-O 
use OT B-O 
a LF B-LF 
maximum OT B-O 
likelihood LF I-LF 
estimator LF I-LF 
( OT B-O 
MLE OT B-O 
) AN B-AN 
for OT B-O 
bigram OT B-O 
prob- OT B-O 
abilities OT B-O 
. OT B-O 

Frustratingly OT B-O 
easy OT B-O 
domain OT B-O 
adaptation OT B-O 
. OT B-O 
In OT B-O 
Association LF B-LF 
for LF I-LF 
Computational LF I-LF 
Linguistics LF I-LF 
( OT B-O 
ACL AN B-AN 
) OT B-O 
. OT B-O 

and OT B-O 
the OT B-O 
speech LF B-LF 
. OT B-O 
The OT B-O 
SU AN B-AN 
detection OT B-O 
task OT B-O 
is OT B-O 
evaluated OT B-O 
on LF I-LF 
both OT B-O 
the OT B-O 
reference LF B-LF 
human OT B-O 
transcriptions OT B-O 
( OT B-O 
REF AN B-AN 
) OT B-O 
and OT B-O 
speech LF I-LF 
recognition LF I-LF 
outputs LF I-LF 
( OT B-O 
STT AN B-AN 
) OT B-O 
. OT B-O 

Each OT B-O 
corpus OT B-O 
uses OT B-O 
a LF B-LF 
different OT B-O 
set OT B-O 
of OT B-O 
entity OT B-O 
labels OT B-O 
. OT B-O 
MUC AN B-AN 
marks OT B-O 
locations LF I-LF 
( OT B-O 
LOC AN B-AN 
) OT B-O 
, OT B-O 
organisations LF I-LF 
( OT B-O 
ORG AN B-AN 
) OT B-O 
and OT B-O 
personal LF I-LF 
names OT B-O 
( OT B-O 
PER AN B-AN 
) OT B-O 
, OT B-O 
in OT B-O 
addition OT B-O 
to OT B-O 
numeri- OT B-O 

Baselines OT B-O 
and OT B-O 
Evaluation OT B-O 
We OT B-O 
compare OT B-O 
prediction OT B-O 
results OT B-O 
with OT B-O 
a LF B-LF 
set OT B-O 
of OT B-O 
single-task OT B-O 
baselines OT B-O 
: OT B-O 
a LF I-LF 
Support LF I-LF 
Vector LF I-LF 
Machine LF I-LF 
( OT B-O 
SVM AN B-AN 
) OT B-O 
using OT B-O 
an OT B-O 
RBF AN B-AN 
kernel OT B-O 
with OT B-O 
hyperparameters OT B-O 
optimised OT B-O 
via OT B-O 
cross- OT B-O 

perform OT B-O 
rather OT B-O 
well OT B-O 
because OT B-O 
the OT B-O 
combined OT B-O 
recency OT B-O 
bias OT B-O 
representation OT B-O 
worked OT B-O 
well OT B-O 
on OT B-O 
its OT B-O 
own OT B-O 
and OT B-O 
be- OT B-O 
cause OT B-O 
the OT B-O 
restricted LF B-LF 
memory LF I-LF 
( OT B-O 
RM AN B-AN 
) OT B-O 
bias OT B-O 
essentially OT B-O 
discards OT B-O 
features OT B-O 
that OT B-O 
are OT B-O 
distant OT B-O 
from OT B-O 
the OT B-O 
relative OT B-O 

that OT B-O 
is OT B-O 
neither OT B-O 
terminal OT B-O 
nor OT B-O 
lexical OT B-O 
. OT B-O 
An OT B-O 
interior OT B-O 
node OT B-O 
is OT B-O 
said OT B-O 
to OT B-O 
meet OT B-O 
he OT B-O 
foot LF B-LF 
condition LF I-LF 
( OT B-O 
FC AN B-AN 
) OT B-O 
iffeach OT B-O 
foot LF I-LF 
feature OT B-O 
that OT B-O 
it LF I-LF 
contains OT B-O 
appears OT B-O 
also OT B-O 
on LF I-LF 
at OT B-O 
least OT B-O 
one OT B-O 
daughter OT B-O 

However OT B-O 
, OT B-O 
a OT B-O 
study OT B-O 
regarding OT B-O 
maximal OT B-O 
recall OT B-O 
shows OT B-O 
that OT B-O 
we OT B-O 
do OT B-O 
not OT B-O 
remove OT B-O 
too OT B-O 
many OT B-O 
true LF B-LF 
positives LF I-LF 
( OT B-O 
TPs AN B-AN 
) OT B-O 
( OT B-O 
more OT B-O 
details OT B-O 
in OT B-O 
Section OT B-O 
4.1 OT B-O 
) OT B-O 
. OT B-O 

frequency OT B-O 
pairs OT B-O 
, OT B-O 
Erk OT B-O 
et OT B-O 
al LF B-LF 
( OT B-O 
2010 OT B-O 
) OT B-O 
drew OT B-O 
( OT B-O 
R OT B-O 
, OT B-O 
t LF I-LF 
) OT B-O 
pairs OT B-O 
from OT B-O 
each OT B-O 
of OT B-O 
five OT B-O 
frequency OT B-O 
bands OT B-O 
in OT B-O 
the OT B-O 
entire OT B-O 
British LF I-LF 
National LF I-LF 
Corpus LF I-LF 
( OT B-O 
BNC AN B-AN 
) OT B-O 
: OT B-O 
50-100 OT B-O 
occurrences OT B-O 
; OT B-O 
101-200 OT B-O 
; OT B-O 
201-500 OT B-O 
; OT B-O 
500-1000 OT B-O 
; OT B-O 
and OT B-O 

details OT B-O 
of OT B-O 
this OT B-O 
collection OT B-O 
. OT B-O 
AECMA LF B-LF 
Simplified LF I-LF 
English LF I-LF 
( OT B-O 
AECMA-SE AN I-AN 
) OT B-O 
( OT B-O 
AECMA LF I-LF 
1986 OT B-O 
) OT B-O 
was OT B-O 
the OT B-O 
predecessor OT B-O 
of OT B-O 
ASD AN B-AN 
Simplified LF I-LF 
Technical OT B-O 
English LF I-LF 
. OT B-O 

an OT B-O 
efficient OT B-O 
bottom-up OT B-O 
algorithm OT B-O 
. OT B-O 
The OT B-O 
asymptotic OT B-O 
time OT B-O 
complexity OT B-O 
of OT B-O 
this OT B-O 
search LF B-LF 
is OT B-O 
O OT B-O 
( OT B-O 
SR AN B-AN 
) OT B-O 
where OT B-O 
S AN I-AN 
is OT B-O 
the OT B-O 
number OT B-O 
of OT B-O 
source OT B-O 
nodes OT B-O 
andR OT B-O 
is OT B-O 
the OT B-O 
number OT B-O 

2 OT B-O 
. OT B-O 
PrecisionCorrectTransliteration OT B-O 
( OT B-O 
PTrans OT B-O 
) AN B-AN 
The OT B-O 
precision OT B-O 
is LF B-LF 
going OT B-O 
to OT B-O 
be OT B-O 
computed OT B-O 
using OT B-O 
the OT B-O 

The OT B-O 
parameters OT B-O 
? OT B-O 
are OT B-O 
estimated OT B-O 
through OT B-O 
the OT B-O 
optimization OT B-O 
of OT B-O 
a LF B-LF 
Maximum LF I-LF 
Likelihood LF I-LF 
( OT B-O 
ML AN B-AN 
) OT B-O 
criterion OT B-O 
using OT B-O 
the OT B-O 
Expectation-Maximization LF I-LF 
( OT B-O 
EM AN B-AN 
) OT B-O 
al- OT B-O 

2 OT B-O 
We OT B-O 
use OT B-O 
a LF B-LF 
new OT B-O 
related OT B-O 
measure OT B-O 
, OT B-O 
which OT B-O 
we OT B-O 
call OT B-O 
the OT B-O 
overall LF I-LF 
percentage LF I-LF 
error LF I-LF 
reduction LF I-LF 
( OT B-O 
OPER AN B-AN 
) OT B-O 
, OT B-O 
that OT B-O 
uses OT B-O 
the OT B-O 
entire OT B-O 
area OT B-O 
under OT B-O 
the OT B-O 
curves OT B-O 
given OT B-O 
by OT B-O 

1 OT B-O 
Introduction OT B-O 
Massive OT B-O 
Open LF B-LF 
Online LF I-LF 
Courses LF I-LF 
( OT B-O 
MOOCs OT B-O 
) AN B-AN 
, OT B-O 
run OT B-O 
by OT B-O 
organizations OT B-O 
such OT B-O 
as LF I-LF 
Coursera OT B-O 
, OT B-O 
have OT B-O 
been OT B-O 
among OT B-O 

of OT B-O 
a LF B-LF 
multi-class OT B-O 
document OT B-O 
categorization OT B-O 
. OT B-O 
We OT B-O 
introduce OT B-O 
PRBEP AN B-AN 
( OT B-O 
precision LF I-LF 
recall LF I-LF 
break LF I-LF 
even LF I-LF 
point LF I-LF 
) OT B-O 
as OT B-O 
a LF I-LF 
measure OT B-O 
which OT B-O 
is LF I-LF 
popular OT B-O 
in LF I-LF 
the OT B-O 
area OT B-O 
of OT B-O 
infor- OT B-O 

erature OT B-O 
for OT B-O 
further OT B-O 
details OT B-O 
. OT B-O 
Semantic LF B-LF 
Role LF I-LF 
Labeling LF I-LF 
( OT B-O 
SRL AN B-AN 
) OT B-O 
Our OT B-O 
first OT B-O 
task OT B-O 
is OT B-O 
that OT B-O 
of OT B-O 
identifying OT B-O 
arguments OT B-O 
of OT B-O 
verbs OT B-O 
in LF I-LF 
a LF I-LF 
sen- OT B-O 

\ OT B-O 
[ OT B-O 
Harman OT B-O 
, OT B-O 
1996\ OT B-O 
] OT B-O 
D. OT B-O 
Harman OT B-O 
. OT B-O 
Overview OT B-O 
of OT B-O 
the OT B-O 
Forth LF B-LF 
Text LF I-LF 
RetrievalConference LF I-LF 
( OT B-O 
TREC-4 AN B-AN 
) OT B-O 
. OT B-O 
In OT B-O 
Proceedings OT B-O 

languages OT B-O 
. OT B-O 
Mutual LF B-LF 
Information LF I-LF 
( OT B-O 
MI AN B-AN 
) OT B-O 
For OT B-O 
the OT B-O 
purpose OT B-O 
of OT B-O 
this OT B-O 
experiment OT B-O 
we OT B-O 
use OT B-O 
a LF I-LF 

Schafer OT B-O 
and OT B-O 
Graham OT B-O 
, OT B-O 
2002 OT B-O 
) OT B-O 
discussed OT B-O 
several OT B-O 
approaches OT B-O 
such OT B-O 
as OT B-O 
case OT B-O 
deletion OT B-O 
, OT B-O 
mean OT B-O 
substitution OT B-O 
, OT B-O 
and OT B-O 
recommended OT B-O 
maximum LF B-LF 
likelihood LF I-LF 
( OT B-O 
ML AN B-AN 
) OT B-O 
and OT B-O 
Bayesian OT B-O 
multiple LF B-LF 
imputation LF I-LF 
( OT B-O 
MI AN B-AN 
) OT B-O 
. OT B-O 

Figure OT B-O 
3 OT B-O 
: OT B-O 
Dialogue LF B-LF 
system OT B-O 
architecture OT B-O 
The OT B-O 
Dialogue LF I-LF 
Manager LF I-LF 
( OT B-O 
DM AN B-AN 
) OT B-O 
uses OT B-O 
sceneobject OT B-O 
attributes OT B-O 
, OT B-O 
such OT B-O 
as OT B-O 
type OT B-O 
, OT B-O 
angle OT B-O 
or OT B-O 
interval OT B-O 

of OT B-O 
the OT B-O 
first OT B-O 
studies OT B-O 
to OT B-O 
investigate OT B-O 
such OT B-O 
constancy OT B-O 
is OT B-O 
Genzel OT B-O 
and OT B-O 
Charniak OT B-O 
( OT B-O 
2002 OT B-O 
) OT B-O 
, OT B-O 
in OT B-O 
which OT B-O 
the OT B-O 
authors OT B-O 
proposed OT B-O 
the OT B-O 
Constant LF B-LF 
Entropy LF I-LF 
Rate LF I-LF 
( OT B-O 
CER AN B-AN 
) OT B-O 
hypothesis OT B-O 
: OT B-O 
in OT B-O 
written OT B-O 
text OT B-O 
, OT B-O 
the OT B-O 
entropy OT B-O 
per OT B-O 
sig- OT B-O 

In OT B-O 
this OT B-O 
definition OT B-O 
, OT B-O 
WHEN OT B-O 
has OT B-O 
two OT B-O 
formal OT B-O 
parameters OT B-O 
x OT B-O 
and OT B-O 
y OT B-O 
; OT B-O 
each OT B-O 
of OT B-O 
them OT B-O 
refers OT B-O 
to OT B-O 
a OT B-O 
situation OT B-O 
that OT B-O 
occurs OT B-O 
at OT B-O 
the OT B-O 
same OT B-O 
point OT B-O 
in LF B-LF 
time LF I-LF 
( OT B-O 
PTIM OT B-O 
) AN B-AN 
. OT B-O 
Any OT B-O 
occurrence OT B-O 
of OT B-O 
the OT B-O 
relation OT B-O 

Central OT B-O 
to OT B-O 
the OT B-O 
predictive OT B-O 
dialogue OT B-O 
is OT B-O 
the OT B-O 
topic OT B-O 
representation OT B-O 
for OT B-O 
each OT B-O 
scenario OT B-O 
, OT B-O 
which OT B-O 
enables OT B-O 
the OT B-O 
population OT B-O 
of OT B-O 
a LF B-LF 
Predictive LF I-LF 
Dialogue LF I-LF 
Network LF I-LF 
( OT B-O 
PDN AN B-AN 
) OT B-O 
. OT B-O 

88 OT B-O 
lated OT B-O 
based OT B-O 
on LF B-LF 
a LF I-LF 
co-occurrence OT B-O 
relationship OT B-O 
between OT B-O 
i LF I-LF 
and OT B-O 
w. OT B-O 
Next OT B-O 
, OT B-O 
the OT B-O 
semantic LF I-LF 
orientation LF I-LF 
( OT B-O 
SO AN B-AN 
) OT B-O 
of OT B-O 
the OT B-O 
phrase OT B-O 
i LF I-LF 
is OT B-O 
obtained OT B-O 
by OT B-O 
calculating OT B-O 
the OT B-O 
difference OT B-O 
be- OT B-O 

These OT B-O 
probabilities OT B-O 
could OT B-O 
be OT B-O 
estimated OT B-O 
from OT B-O 
training OT B-O 
cases OT B-O 
with OT B-O 
Maximum LF B-LF 
Likelihood LF I-LF 
Estimation LF I-LF 
( OT B-O 
MLE AN B-AN 
) OT B-O 
. OT B-O 
Let OT B-O 
l LF I-LF 

1 OT B-O 
Introduction OT B-O 
Automatic OT B-O 
evaluation OT B-O 
of OT B-O 
machine OT B-O 
translation LF B-LF 
( OT B-O 
MT OT B-O 
