-DOCSTART- -X- O
mà OT B-O 
số OT B-O 
lượng OT B-O 
lấy OT B-O 
mẫu OT B-O 
( OT B-O 
𝑀 OT B-O 
∗ OT B-O 
𝐻 OT B-O 
mẫu OT B-O 
) OT B-O 
cũng OT B-O 
giảm OT B-O 
bớt OT B-O 
so OT B-O 
với OT B-O 
kĩ OT B-O 
thuật OT B-O 
đổi OT B-O 
biến OT B-O 
( OT B-O 
𝑀 OT B-O 
∗ OT B-O 
𝐷 OT B-O 
∗ OT B-O 
𝐻 OT B-O 
mẫu OT B-O 
) OT B-O 
do OT B-O 
số OT B-O 
chiều OT B-O 
của OT B-O 
B OT B-O 
ít OT B-O 
hơn OT B-O 
nhiều OT B-O 
so OT B-O 
với OT B-O 
𝜃 OT B-O 
. OT B-O 
Ta OT B-O 
có OT B-O 
: OT B-O 

( OT B-O 
FN OT B-O 
) OT B-O 
Dự OT B-O 
đoán OT B-O 
không OT B-O 
thuộc OT B-O 
lớp OT B-O 
a OT B-O 

Trong OT B-O 
mô OT B-O 
hình OT B-O 
ITE OT B-O 
- OT B-O 
3 OT B-O 
, OT B-O 
em OT B-O 
đề OT B-O 
xuất OT B-O 
thêm OT B-O 
vào OT B-O 
thông OT B-O 
tin OT B-O 
về OT B-O 
zone OT B-O 
. OT B-O 
Trong OT B-O 
hệ OT B-O 
thống OT B-O 
quảng OT B-O 
cáo OT B-O 
trực OT B-O 
tuyến OT B-O 
, OT B-O 
zone OT B-O 
đại OT B-O 
diện OT B-O 
cho OT B-O 

Thuật OT B-O 
toán OT B-O 
học OT B-O 
cho OT B-O 
LDA OT B-O 
sử OT B-O 
dụng OT B-O 
suy OT B-O 
diễn OT B-O 
biến OT B-O 
phân OT B-O 
cụ OT B-O 
thể OT B-O 
như OT B-O 
sau OT B-O 
: OT B-O 
Thuật OT B-O 
toán OT B-O 
1 OT B-O 
Thuật OT B-O 
toán OT B-O 
học OT B-O 
LDA OT B-O 
sử OT B-O 
dụng OT B-O 
suy OT B-O 
diễn OT B-O 
biến OT B-O 
phân OT B-O 
Đầu OT B-O 
vào OT B-O 
: OT B-O 
Tập OT B-O 
gồm OT B-O 
D OT B-O 
văn OT B-O 
bản OT B-O 
, OT B-O 
các OT B-O 
tham OT B-O 
số OT B-O 
tiên OT B-O 
nghiệm OT B-O 
η OT B-O 
, OT B-O 
α OT B-O 

với OT B-O 
nhau OT B-O 
. OT B-O 
Trong OT B-O 
trường OT B-O 
hợp OT B-O 
chỉ OT B-O 
có OT B-O 
phân OT B-O 
phối OT B-O 
dữ OT B-O 
liệu OT B-O 
đầu OT B-O 
vào OT B-O 
p OT B-O 
( OT B-O 
𝑥1 OT B-O 
: OT B-O 
𝑇 OT B-O 
) OT B-O 
thay OT B-O 
đổi OT B-O 
theo OT B-O 

phương OT B-O 
pháp OT B-O 
trong OT B-O 
SSL OT B-O 
thực OT B-O 
sự OT B-O 
quan OT B-O 
tâm OT B-O 
. OT B-O 
Do OT B-O 
đó OT B-O 
, OT B-O 
các OT B-O 
đánh OT B-O 
giá OT B-O 
của OT B-O 
các OT B-O 
thí OT B-O 
nghiệm OT B-O 
được OT B-O 
trình OT B-O 
bày OT B-O 
trong OT B-O 
đồ OT B-O 
án OT B-O 
này OT B-O 
cũng OT B-O 
chỉ OT B-O 
so OT B-O 
sánh OT B-O 
về OT B-O 
độ OT B-O 
mạnh OT B-O 
yếu OT B-O 
của OT B-O 
biểu OT B-O 
diễn OT B-O 
ẩn OT B-O 

φ OT B-O 
φ OT B-O 
λt OT B-O 
, OT B-O 
φt OT B-O 
trong OT B-O 
HPP OT B-O 
như OT B-O 
với OT B-O 
một OT B-O 
mô OT B-O 
hình OT B-O 
`` OT B-O 
conjugate OT B-O 
exponential OT B-O 
`` OT B-O 
thông OT B-O 

vecto OT B-O 
λ OT B-O 
và OT B-O 
λ0 OT B-O 
là OT B-O 
một OT B-O 
độ OT B-O 
đo OT B-O 
không OT B-O 
hiệu OT B-O 
quả OT B-O 
để OT B-O 
biểu OT B-O 
diễn OT B-O 
tính OT B-O 
tương OT B-O 
đồng OT B-O 
của OT B-O 
hai OT B-O 
phân OT B-O 
phối OT B-O 
q OT B-O 
( OT B-O 
Θ OT B-O 
| OT B-O 
λ OT B-O 
) OT B-O 
và OT B-O 
q OT B-O 
( OT B-O 
Θ OT B-O 
| OT B-O 
λ0 OT B-O 
) OT B-O 
. OT B-O 
Trong OT B-O 
khi OT B-O 
đó OT B-O 
, OT B-O 
natural OT B-O 
gradient OT B-O 
chỉ OT B-O 
hướng OT B-O 
trong OT B-O 

ta OT B-O 
xây OT B-O 
dựng OT B-O 
một OT B-O 
hàm OT B-O 
mất OT B-O 
mát OT B-O 
dựa OT B-O 
trên OT B-O 
những OT B-O 
giá OT B-O 
trị OT B-O 
đã OT B-O 
biết OT B-O 
trong OT B-O 
ma OT B-O 
trận OT B-O 
R OT B-O 
N OT B-O 
1 OT B-O 
X OT B-O 
X OT B-O 

Bài OT B-O 
toán OT B-O 
có OT B-O 
thể OT B-O 
phát OT B-O 
biểu OT B-O 
lại OT B-O 
như OT B-O 
sau OT B-O 
: OT B-O 
Input OT B-O 
: OT B-O 
Dữ OT B-O 
liệu OT B-O 
tương OT B-O 
tác OT B-O 
user OT B-O 
- OT B-O 
item OT B-O 
của OT B-O 
hành OT B-O 
vi OT B-O 
mục OT B-O 
tiêu OT B-O 
YR OT B-O 
, OT B-O 
và OT B-O 
dữ OT B-O 
liệu OT B-O 
tương OT B-O 
tác OT B-O 
của OT B-O 
các OT B-O 
loại OT B-O 
hành OT B-O 
vi OT B-O 
khác OT B-O 
{ OT B-O 
Y1 OT B-O 
, OT B-O 
Y2 OT B-O 
, OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
, OT B-O 
YR−1 OT B-O 
} OT B-O 

Mà OT B-O 
đó OT B-O 
là OT B-O 
một OT B-O 
phân OT B-O 
phối OT B-O 
không OT B-O 
có OT B-O 
công OT B-O 
thức OT B-O 
tường OT B-O 
minh OT B-O 
nên OT B-O 
được OT B-O 
xấp OT B-O 
xỉ OT B-O 
bằng OT B-O 
phân OT B-O 
phối OT B-O 
Gauss OT B-O 
có OT B-O 
kỳ OT B-O 
vọng OT B-O 
là OT B-O 
tham OT B-O 
số OT B-O 
tối OT B-O 
ưu OT B-O 
của OT B-O 
T1 OT B-O 
và OT B-O 
ma OT B-O 
trận OT B-O 
hiệp OT B-O 
phương OT B-O 
sai OT B-O 
chéo OT B-O 
( OT B-O 
tức OT B-O 
các OT B-O 
tham OT B-O 
số OT B-O 
độc OT B-O 
lập OT B-O 
với OT B-O 
nhau OT B-O 
) OT B-O 
: OT B-O 

Trong OT B-O 
đó OT B-O 
, OT B-O 
𝑤 OT B-O 
[ OT B-O 
𝑖−𝑀 OT B-O 
: OT B-O 
𝑖+𝑀 OT B-O 
] OT B-O 
là OT B-O 
tổng OT B-O 
hợp OT B-O 
của OT B-O 
embedding OT B-O 
từ OT B-O 
thứ OT B-O 
i-M OT B-O 
đến OT B-O 
từ OT B-O 
thứ OT B-O 
i+M OT B-O 
, OT B-O 
C OT B-O 
và OT B-O 
b OT B-O 
là OT B-O 
các OT B-O 
tham OT B-O 
số OT B-O 
của OT B-O 
mạng OT B-O 
CNN OT B-O 
và OT B-O 
M OT B-O 
là OT B-O 
kích OT B-O 
thước OT B-O 
cửa OT B-O 
sổ OT B-O 
trượt OT B-O 
trong OT B-O 
mạng OT B-O 
CNN OT B-O 
. OT B-O 

2 OT B-O 
CHƯƠNG OT B-O 
2 OT B-O 
. OT B-O 
CÁC OT B-O 
NGHIÊN OT B-O 
CỨU OT B-O 
LIÊN OT B-O 
QUAN OT B-O 
VÀ OT B-O 
CƠ OT B-O 
SỞ OT B-O 
LÝ OT B-O 
THUYẾT OT B-O 

Tất OT B-O 
cả OT B-O 
những OT B-O 
tham OT B-O 
khảo OT B-O 
trong OT B-O 
ĐATN OT B-O 
, OT B-O 
bao OT B-O 
gồm OT B-O 
hình OT B-O 
ảnh OT B-O 
, OT B-O 
bảng OT B-O 
biểu OT B-O 
, OT B-O 
câu OT B-O 
trích OT B-O 
dẫn OT B-O 
đều OT B-O 
được OT B-O 
ghi OT B-O 
rõ OT B-O 
ràng OT B-O 
nguồn OT B-O 
gốc OT B-O 
trong OT B-O 
danh OT B-O 
mục OT B-O 
tham OT B-O 
khảo OT B-O 
. OT B-O 

Minh OT B-O 
họa OT B-O 
lời OT B-O 
giải OT B-O 
tạo OT B-O 
bởi OT B-O 
Lasso OT B-O 
, OT B-O 
GL OT B-O 
và OT B-O 
SGL OT B-O 
… OT B-O 
. OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
… OT B-O 
... OT B-O 
. OT B-O 

ĐỒ OT B-O 
ÁN OT B-O 
TỐT OT B-O 
NGHIỆP OT B-O 
Kết OT B-O 
hợp OT B-O 
phân OT B-O 
nhóm OT B-O 
gene OT B-O 
đồng OT B-O 
biểu OT B-O 
hiện OT B-O 
và OT B-O 
một OT B-O 
số OT B-O 
biến OT B-O 
thể OT B-O 
của OT B-O 
Lasso OT B-O 
trong OT B-O 
bài OT B-O 
toán OT B-O 

• OT B-O 
Công OT B-O 
thức OT B-O 
1.13 OT B-O 
thể OT B-O 
hiện OT B-O 
quá OT B-O 
trình OT B-O 
cập OT B-O 
nhật OT B-O 
thông OT B-O 
tin OT B-O 
trong OT B-O 
cổng OT B-O 
update OT B-O 
. OT B-O 
Tương OT B-O 
tự OT B-O 
như OT B-O 
RNN OT B-O 
chuẩn OT B-O 
, OT B-O 
quá OT B-O 
trình OT B-O 
cập OT B-O 
nhật OT B-O 
nhận OT B-O 
véc OT B-O 
- OT B-O 
tơ OT B-O 
đầu OT B-O 
vào OT B-O 
xt OT B-O 
và OT B-O 
trạng OT B-O 
thái OT B-O 
ẩn OT B-O 
trước OT B-O 
đó OT B-O 
ht−1 OT B-O 
, OT B-O 

mức OT B-O 
độ OT B-O 
thưa OT B-O 
của OT B-O 
lời OT B-O 
giải OT B-O 
của OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
Lasso OT B-O 
, OT B-O 
Group OT B-O 
Lasso OT B-O 
và OT B-O 
Sparse OT B-O 
Group OT B-O 
Lasso OT B-O 
. OT B-O 
Hình OT B-O 
5 OT B-O 
. OT B-O 
Minh OT B-O 
họa OT B-O 
lời OT B-O 
giải OT B-O 
tạo OT B-O 
bởi OT B-O 
Lasso OT B-O 
, OT B-O 
GL OT B-O 
và OT B-O 
SGL OT B-O 

Nguồn OT B-O 
[ OT B-O 
62 OT B-O 
] OT B-O 
. OT B-O 
Có OT B-O 
hai OT B-O 
cách OT B-O 
xây OT B-O 
dựng OT B-O 
dendrogram OT B-O 
là OT B-O 
tổng OT B-O 
hợp OT B-O 
( OT B-O 
hay OT B-O 
tích OT B-O 
tụ OT B-O 
- OT B-O 
Hierarchical OT B-O 
Agglomerative OT B-O 
Clustering OT B-O 
– OT B-O 
HAC OT B-O 
) OT B-O 
và OT B-O 
phân OT B-O 
chia OT B-O 
( OT B-O 
Hierarchical OT B-O 
Divisive OT B-O 
Clustering OT B-O 
– OT B-O 

nhiên OT B-O 
ALV OT B-O 
vẫn OT B-O 
vượt OT B-O 
trội OT B-O 
hơn OT B-O 
với OT B-O 
kết OT B-O 
quả OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
trung OT B-O 
bình OT B-O 
đạt OT B-O 
được OT B-O 
là OT B-O 
92.96 OT B-O 
% OT B-O 
và OT B-O 
cao OT B-O 
hơn OT B-O 
Dropout OT B-O 
0.14 OT B-O 
% OT B-O 
. OT B-O 
Hình OT B-O 
4 OT B-O 
. OT B-O 
6 OT B-O 
Kết OT B-O 
quả OT B-O 
thử OT B-O 
nghiệm OT B-O 
PMNIST OT B-O 
trên OT B-O 
EWC OT B-O 

Mô OT B-O 
hình OT B-O 
sử OT B-O 
dụng OT B-O 
hàm OT B-O 
kích OT B-O 
hoạt OT B-O 
và OT B-O 
h OT B-O 
như OT B-O 
trên OT B-O 
là OT B-O 
mô OT B-O 
hình OT B-O 
Generalized OT B-O 
Matrix OT B-O 
Factorization OT B-O 
( OT B-O 
GMF OT B-O 
) OT B-O 
. OT B-O 
Multi OT B-O 
- OT B-O 
Layer OT B-O 
Perceptron OT B-O 

𝑏𝑚 OT B-O 
= OT B-O 
𝑎𝑚 OT B-O 
𝑊 OT B-O 
với OT B-O 
𝑤𝑑 OT B-O 
= OT B-O 
𝑠𝑑 OT B-O 
𝜃𝑑 OT B-O 
𝑣à OT B-O 
𝑠𝑑 OT B-O 
~ OT B-O 
𝑁 OT B-O 
( OT B-O 
1 OT B-O 
, OT B-O 
𝛼 OT B-O 
) OT B-O 
PT OT B-O 
3.2 OT B-O 

0.20 OT B-O 
Bảng OT B-O 
4 OT B-O 
. OT B-O 
4 OT B-O 
và OT B-O 
bảng OT B-O 
4 OT B-O 
. OT B-O 
5 OT B-O 
biểu OT B-O 
thị OT B-O 
các OT B-O 
giá OT B-O 
trị OT B-O 
perplexity OT B-O 
và OT B-O 
độ OT B-O 
gắn OT B-O 
kết OT B-O 
các OT B-O 
chủ OT B-O 
đề OT B-O 
( OT B-O 
NPMI OT B-O 
) OT B-O 
của OT B-O 
2 OT B-O 
mô OT B-O 
hình OT B-O 
ProdLDA OT B-O 
VAE OT B-O 
và OT B-O 
Online OT B-O 
LDA OT B-O 
với OT B-O 
từng OT B-O 
giá OT B-O 
trị OT B-O 
k OT B-O 
( OT B-O 
số OT B-O 
lượng OT B-O 
topics OT B-O 
) OT B-O 

46 OT B-O 
5 OT B-O 
THỬ OT B-O 
NGHIỆM OT B-O 
VÀ OT B-O 
ĐÁNH OT B-O 
GIÁ OT B-O 

13 OT B-O 
Main OT B-O 
Content OT B-O 
: OT B-O 
mô OT B-O 
tả OT B-O 
nội OT B-O 
dung OT B-O 
chính OT B-O 
của OT B-O 
Main OT B-O 
Event OT B-O 
( OT B-O 
M1 OT B-O 
) OT B-O 
: OT B-O 
Là OT B-O 
sự OT B-O 
kiện OT B-O 
quan OT B-O 
trọng OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
( OT B-O 
47 OT B-O 
) OT B-O 
47 OT B-O 

Trong OT B-O 
khi OT B-O 
VB OT B-O 
cổ OT B-O 
điển OT B-O 
xấp OT B-O 
xỉ OT B-O 
phân OT B-O 
phối OT B-O 
hậu OT B-O 
nghiệm OT B-O 
bằng OT B-O 
cách OT B-O 
tối OT B-O 
ưu OT B-O 
hoá OT B-O 
hàm OT B-O 
lower OT B-O 
bound OT B-O 
của OT B-O 
hàm OT B-O 
log-complete OT B-O 
data OT B-O 
, OT B-O 
còn OT B-O 
gọi OT B-O 
là OT B-O 
ELBO OT B-O 
như OT B-O 
đề OT B-O 
cập OT B-O 
ở OT B-O 
phần OT B-O 
lý OT B-O 
thuyết OT B-O 
suy OT B-O 
diễn OT B-O 
biến OT B-O 
phân OT B-O 
: OT B-O 

tập OT B-O 
từ OT B-O 
điển OT B-O 
các OT B-O 
character OT B-O 
ta OT B-O 
biểu OT B-O 
diễn OT B-O 
mỗi OT B-O 
character OT B-O 
thành OT B-O 
một OT B-O 
vector OT B-O 
k OT B-O 
chiều OT B-O 
được OT B-O 
khởi OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
- OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Thế OT B-O 
Linh OT B-O 
– OT B-O 
20142585 OT B-O 
– OT B-O 
K59 OT B-O 
– OT B-O 
Lớp OT B-O 
CNTT OT B-O 
– OT B-O 
TT OT B-O 
2.03 OT B-O 

( OT B-O 
𝑙 OT B-O 
) OT B-O 
⨀ OT B-O 
là OT B-O 
phép OT B-O 
nhân OT B-O 
Hadamard OT B-O 
trên OT B-O 
ma OT B-O 
trận OT B-O 
, OT B-O 
𝑠𝑡 OT B-O 
ở OT B-O 
đây OT B-O 
là OT B-O 
một OT B-O 
ma OT B-O 
trận OT B-O 
kích OT B-O 
thước OT B-O 
𝑀 OT B-O 
× OT B-O 
𝐷 OT B-O 
( OT B-O 
𝑙 OT B-O 
) OT B-O 

Ví OT B-O 
dụ OT B-O 
, OT B-O 
đầu OT B-O 
vào OT B-O 
mạng OT B-O 
CNN OT B-O 
là OT B-O 
một OT B-O 
ảnh OT B-O 
kích OT B-O 
thước OT B-O 
28x28 OT B-O 
tương OT B-O 
ứng OT B-O 
một OT B-O 
ma OT B-O 
trận OT B-O 
có OT B-O 
28x28 OT B-O 
giá OT B-O 
trị OT B-O 
và OT B-O 
mỗi OT B-O 
giá OT B-O 
trị OT B-O 
mỗi OT B-O 
điểm OT B-O 
ảnh OT B-O 
là OT B-O 
một OT B-O 
ô OT B-O 
trong OT B-O 
ma OT B-O 
trận OT B-O 
. OT B-O 
Trong OT B-O 
một OT B-O 
mạng OT B-O 
ANN OT B-O 

Thí OT B-O 
nghiệm OT B-O 
thứ OT B-O 
2 OT B-O 
mà OT B-O 
đồ OT B-O 
án OT B-O 
tốt OT B-O 
nghiệp OT B-O 
này OT B-O 
triển OT B-O 
khai OT B-O 
liên OT B-O 
quan OT B-O 
đến OT B-O 
tham OT B-O 
số OT B-O 
temperature OT B-O 
. OT B-O 
Đây OT B-O 
là OT B-O 
một OT B-O 
tham OT B-O 
số OT B-O 
điều OT B-O 
chỉnh OT B-O 
trong OT B-O 
hàm OT B-O 
mất OT B-O 
mát OT B-O 
, OT B-O 
bằng OT B-O 
cách OT B-O 
thay OT B-O 
đổi OT B-O 
tham OT B-O 
số OT B-O 
này OT B-O 
trong OT B-O 
cả OT B-O 
mô OT B-O 
hình OT B-O 
SimCLR OT B-O 
gốc OT B-O 
và OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
LCL OT B-O 
, OT B-O 
thì OT B-O 
nghiệm OT B-O 
muốn OT B-O 

Mạng OT B-O 
tập OT B-O 
trung OT B-O 
phân OT B-O 
cấp OT B-O 
Natural OT B-O 
Language OT B-O 
Processing OT B-O 
NLP OT B-O 

của OT B-O 
một OT B-O 
một OT B-O 
chuỗi OT B-O 
, OT B-O 
có OT B-O 
đầu OT B-O 
ra OT B-O 
phụ OT B-O 
thuộc OT B-O 
vào OT B-O 
những OT B-O 
tính OT B-O 
toán OT B-O 
trước OT B-O 
đó OT B-O 
. OT B-O 
Hình OT B-O 
2 OT B-O 
là OT B-O 
một OT B-O 
mạng LF B-LF 
nơ-ron LF I-LF 
hồi LF I-LF 
quy LF I-LF 
RNN AN B-AN 
cơ OT B-O 
bản OT B-O 
. OT B-O 
5 OT B-O 

xỉ OT B-O 
. OT B-O 
Tồn OT B-O 
tại OT B-O 
một OT B-O 
lớp OT B-O 
rộng OT B-O 
các OT B-O 
thuật OT B-O 
toán OT B-O 
suy OT B-O 
diễn OT B-O 
xấp OT B-O 
xỉ OT B-O 
có OT B-O 
thể OT B-O 
sử OT B-O 
dụng OT B-O 
cho OT B-O 
mô OT B-O 
hình OT B-O 
LDA OT B-O 
, OT B-O 
bao OT B-O 
gồm OT B-O 
xấp OT B-O 
xỉ OT B-O 
Laplace OT B-O 
, OT B-O 
suy OT B-O 
diễn OT B-O 
biến OT B-O 
phân OT B-O 
và OT B-O 
lấy OT B-O 
mẫu OT B-O 
Makov OT B-O 
chain OT B-O 

TÀI OT B-O 
LIỆU OT B-O 
THAM OT B-O 
KHẢO OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
.. OT B-O 
43 OT B-O 
PHỤ OT B-O 
LỤC OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
... OT B-O 
46 OT B-O 

được OT B-O 
xét OT B-O 
thêm OT B-O 
. OT B-O 
Kết OT B-O 
quả OT B-O 
ở OT B-O 
hình OT B-O 
5 OT B-O 
. OT B-O 
8 OT B-O 
một OT B-O 
lần OT B-O 
nữa OT B-O 
khẳng OT B-O 
định OT B-O 
VBD OT B-O 
- OT B-O 
CL OT B-O 
tốt OT B-O 
hơn OT B-O 
HAT OT B-O 

( OT B-O 
29 OT B-O 
) OT B-O 
Điểm OT B-O 
F1 OT B-O 
là OT B-O 
trung OT B-O 
bình OT B-O 
điều OT B-O 
hòa OT B-O 
của OT B-O 
precision OT B-O 
và OT B-O 
recall OT B-O 
: OT B-O 
F1 OT B-O 
= OT B-O 

20 OT B-O 
- OT B-O 
Newsgroups OT B-O 
( OT B-O 
20NG OT B-O 
) OT B-O 
, OT B-O 
Ohsumed OT B-O 
, OT B-O 
R52 OT B-O 
và OT B-O 
R8 OT B-O 
của OT B-O 
Reuters OT B-O 
, OT B-O 
Movie OT B-O 
Review OT B-O 
( OT B-O 
MR OT B-O 
) OT B-O 
: OT B-O 

được OT B-O 
gắn OT B-O 
trên OT B-O 
đó OT B-O 
, OT B-O 
gọi OT B-O 
là OT B-O 
đoạn OT B-O 
mồi OT B-O 
. OT B-O 
Sau OT B-O 
đó OT B-O 
các OT B-O 
đoạn OT B-O 
mRNA OT B-O 
của OT B-O 
đối OT B-O 
tượng OT B-O 
cần OT B-O 
quan OT B-O 
tâm OT B-O 
sẽ OT B-O 
được OT B-O 
lấy OT B-O 
ra OT B-O 
, OT B-O 
sử OT B-O 
dụng OT B-O 
enzyme OT B-O 
phiên OT B-O 
mã OT B-O 
ngược OT B-O 
để OT B-O 
tái OT B-O 
tạo OT B-O 
lại OT B-O 
các OT B-O 
mạch OT B-O 
DNA OT B-O 
bổ OT B-O 
sung OT B-O 

dùng OT B-O 
với OT B-O 
thuộc OT B-O 
tính OT B-O 
đó OT B-O 
cao OT B-O 
. OT B-O 
Nếu OT B-O 
ta OT B-O 
gọi OT B-O 
R OT B-O 
∈ OT B-O 
RM OT B-O 
×N OT B-O 
là OT B-O 
ma OT B-O 
trận OT B-O 
lịch OT B-O 
sử OT B-O 
tương OT B-O 
tác OT B-O 
, OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Trọng OT B-O 
Nhật OT B-O 
, OT B-O 
20143316 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 

𝑖=1 OT B-O 
PT OT B-O 
4.1 OT B-O 
trong OT B-O 
đó OT B-O 
: OT B-O 
R OT B-O 
j OT B-O 
, OT B-O 
i OT B-O 
là OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
đánh OT B-O 
giá OT B-O 
trên OT B-O 
tác OT B-O 
vụ OT B-O 
i OT B-O 
sau OT B-O 
khi OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Trọng OT B-O 
Nhật OT B-O 
, OT B-O 
20143316 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
. OT B-O 
. OT B-O 

trong OT B-O 
đó OT B-O 
ℽ OT B-O 
∈ OT B-O 
ℝ OT B-O 
và OT B-O 
w OT B-O 
∈ OT B-O 
ℝ2 OT B-O 
là OT B-O 
các OT B-O 
tham OT B-O 
số OT B-O 
được OT B-O 
cập OT B-O 
nhật OT B-O 
trong OT B-O 
quá OT B-O 
trình OT B-O 
huấn OT B-O 
luyện OT B-O 
, OT B-O 
dc OT B-O 
’ OT B-O 
là OT B-O 
chiều OT B-O 
của OT B-O 
vector OT B-O 
đầu OT B-O 
ra OT B-O 
của OT B-O 
ELMo OT B-O 
. OT B-O 
Cuối OT B-O 
cùng OT B-O 
, OT B-O 
ta OT B-O 
đưa OT B-O 
hi OT B-O 
qua OT B-O 
một OT B-O 
mạng OT B-O 
feed OT B-O 
forward OT B-O 

Variational OT B-O 
Inference OT B-O 
( OT B-O 
VI OT B-O 
) OT B-O 
là OT B-O 
một OT B-O 
phương OT B-O 
pháp OT B-O 
suy OT B-O 
diễn OT B-O 
trong OT B-O 
học OT B-O 
máy OT B-O 
cho OT B-O 
phép OT B-O 
ta OT B-O 
xấp OT B-O 
xỉ OT B-O 
các OT B-O 
hàm OT B-O 
mật OT B-O 
độ OT B-O 
xác OT B-O 
suất OT B-O 
mà OT B-O 
không OT B-O 
dễ OT B-O 
để OT B-O 
tính OT B-O 
toán OT B-O 
. OT B-O 
VI OT B-O 
được OT B-O 
sử OT B-O 
dụng OT B-O 

Factorization OT B-O 
( OT B-O 
DMF OT B-O 
) OT B-O 
. OT B-O 
Với OT B-O 
đầu OT B-O 
vào OT B-O 
là OT B-O 
một OT B-O 
ma OT B-O 
trận OT B-O 
xếp OT B-O 
hạng OT B-O 
rõ OT B-O 
ràng OT B-O 
không OT B-O 
có OT B-O 
